PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
6016,33.31052333,130.2927482,24.904,57574.498,-47286.274,2,5030,23,29
6017,33.3105215,130.2927514,24.901,57573.932,-47285.449,2,5030,23,29
6018,33.31051968,130.2927546,24.898,57573.367,-47284.624,2,5030,23,29
6019,33.31051786,130.2927578,24.895,57572.802,-47283.8,2,5030,23,29
6020,33.31051604,130.2927611,24.893,57572.237,-47282.975,2,5030,23,29
6021,33.31051422,130.2927643,24.89,57571.672,-47282.15,2,5030,23,29
6022,33.3105124,130.2927675,24.888,57571.106,-47281.325,2,5030,23,29
6023,33.31051058,130.2927707,24.886,57570.541,-47280.5,2,5030,23,29
6024,33.31050876,130.2927739,24.884,57569.976,-47279.675,2,5030,23,29
6025,33.31050693,130.2927771,24.882,57569.411,-47278.85,2,5030,23,29
6026,33.31050511,130.2927803,24.881,57568.845,-47278.025,2,5030,23,29
6027,33.31050329,130.2927835,24.88,57568.28,-47277.2,2,5030,23,29
6028,33.31050146,130.2927867,24.879,57567.712,-47276.377,2,5030,23,29
6029,33.31049962,130.2927899,24.878,57567.142,-47275.555,2,5030,23,29
6030,33.31049777,130.2927931,24.878,57566.569,-47274.736,2,5030,23,29
6031,33.31080522,130.2926274,24.658,57661.494,-47317.033,2,5030,23,29
6032,33.3108075,130.2926301,24.654,57662.192,-47316.316,2,5030,23,29
6033,33.31080977,130.2926329,24.65,57662.889,-47315.6,2,5030,23,29
6034,33.31081205,130.2926357,24.646,57663.586,-47314.883,2,5030,23,29
6035,33.31081433,130.2926384,24.642,57664.284,-47314.166,2,5030,23,29
6036,33.3108166,130.2926412,24.638,57664.981,-47313.45,2,5030,23,29
6037,33.31081887,130.292644,24.634,57665.678,-47312.733,2,5030,23,29
6038,33.31082115,130.2926467,24.63,57666.376,-47312.016,2,5030,23,29
6039,33.31082352,130.2926496,24.626,57667.103,-47311.268,2,5030,23,29
6040,33.31082587,130.2926525,24.622,57667.823,-47310.529,2,5030,23,29
6041,33.31082815,130.2926552,24.619,57668.52,-47309.812,2,5030,23,29
6042,33.31083042,130.292658,24.615,57669.217,-47309.095,2,5030,23,29
6043,33.3108327,130.2926607,24.612,57669.915,-47308.379,2,5030,23,29
6044,33.31083497,130.2926635,24.608,57670.612,-47307.662,2,5030,23,29
6045,33.31083724,130.2926663,24.604,57671.309,-47306.945,2,5030,23,29
6046,33.31083952,130.292669,24.6,57672.007,-47306.228,2,5030,23,29
6047,33.31084179,130.2926718,24.597,57672.704,-47305.512,2,5030,23,29
6048,33.31084407,130.2926746,24.593,57673.402,-47304.795,2,5030,23,29
6049,33.31084526,130.292676,24.591,57673.765,-47304.421,2,5030,23,29
6050,33.3108351,130.2926879,24.574,57670.621,-47301.358,2,5030,23,29
6051,33.31083281,130.2926852,24.577,57669.92,-47302.071,2,5030,23,29
6052,33.31083052,130.2926824,24.581,57669.218,-47302.783,2,5030,23,29
